date,sunspot_number,year,month
1986-12-01,5.8,1986,12
1987-01-01,9.8,1987,1
1987-02-01,3.4,1987,2
1987-03-01,17.4,1987,3
1987-04-01,46.0,1987,4
1987-05-01,39.1,1987,5
1987-06-01,18.8,1987,6
1987-07-01,38.2,1987,7
1987-08-01,47.9,1987,8
1987-09-01,42.2,1987,9
1987-10-01,63.4,1987,10
1987-11-01,48.8,1987,11
1987-12-01,29.1,1987,12
1988-01-01,70.5,1988,1
1988-02-01,45.4,1988,2
1988-03-01,91.2,1988,3
1988-04-01,108.8,1988,4
1988-05-01,74.2,1988,5
1988-06-01,124.3,1988,6
1988-07-01,131.4,1988,7
1988-08-01,139.4,1988,8
1988-09-01,142.7,1988,9
1988-10-01,156.5,1988,10
1988-11-01,156.8,1988,11
1988-12-01,231.2,1988,12
1989-01-01,210.1,1989,1
1989-02-01,208.7,1989,2
1989-03-01,170.4,1989,3
1989-04-01,166.3,1989,4
1989-05-01,195.4,1989,5
1989-06-01,284.5,1989,6
1989-07-01,180.5,1989,7
1989-08-01,232.0,1989,8
1989-09-01,225.1,1989,9
1989-10-01,212.2,1989,10
1989-11-01,238.2,1989,11
1989-12-01,211.4,1989,12
1990-01-01,227.4,1990,1
1990-02-01,171.8,1990,2
1990-03-01,191.7,1990,3
1990-04-01,189.7,1990,4
1990-05-01,175.2,1990,5
1990-06-01,153.3,1990,6
1990-07-01,191.1,1990,7
1990-08-01,252.1,1990,8
1990-09-01,169.1,1990,9
1990-10-01,199.4,1990,10
1990-11-01,178.8,1990,11
1990-12-01,197.1,1990,12
1991-01-01,195.3,1991,1
1991-02-01,240.3,1991,2
1991-03-01,197.0,1991,3
1991-04-01,197.6,1991,4
1991-05-01,166.9,1991,5
1991-06-01,224.7,1991,6
1991-07-01,240.2,1991,7
1991-08-01,240.8,1991,8
1991-09-01,168.9,1991,9
1991-10-01,197.1,1991,10
1991-11-01,159.5,1991,11
1991-12-01,212.6,1991,12
1992-01-01,198.3,1992,1
1992-02-01,230.7,1992,2
1992-03-01,151.0,1992,3
1992-04-01,142.2,1992,4
1992-05-01,94.3,1992,5
1992-06-01,98.5,1992,6
1992-07-01,114.2,1992,7
1992-08-01,91.9,1992,8
1992-09-01,94.0,1992,9
1992-10-01,133.4,1992,10
1992-11-01,129.6,1992,11
1992-12-01,122.0,1992,12
1993-01-01,81.4,1993,1
1993-02-01,127.8,1993,2
1993-03-01,102.4,1993,3
1993-04-01,94.4,1993,4
1993-05-01,78.8,1993,5
1993-06-01,69.6,1993,6
1993-07-01,80.4,1993,7
1993-08-01,62.5,1993,8
1993-09-01,31.2,1993,9
1993-10-01,71.1,1993,10
1993-11-01,48.2,1993,11
1993-12-01,68.4,1993,12
1994-01-01,84.9,1994,1
1994-02-01,54.9,1994,2
1994-03-01,47.5,1994,3
1994-04-01,27.4,1994,4
1994-05-01,29.8,1994,5
1994-06-01,39.7,1994,6
1994-07-01,50.6,1994,7
1994-08-01,34.3,1994,8
1994-09-01,40.5,1994,9
1994-10-01,67.1,1994,10
1994-11-01,29.5,1994,11
1994-12-01,32.2,1994,12
1995-01-01,32.6,1995,1
1995-02-01,45.8,1995,2
1995-03-01,46.3,1995,3
1995-04-01,21.6,1995,4
1995-05-01,19.4,1995,5
1995-06-01,22.5,1995,6
1995-07-01,20.4,1995,7
1995-08-01,18.2,1995,8
1995-09-01,15.7,1995,9
1995-10-01,30.6,1995,10
1995-11-01,14.0,1995,11
1995-12-01,14.9,1995,12
1996-01-01,13.3,1996,1
1996-02-01,7.7,1996,2
1996-03-01,12.6,1996,3
1996-04-01,6.8,1996,4
1996-05-01,7.6,1996,5
1996-06-01,16.5,1996,6
1996-07-01,11.8,1996,7
1996-08-01,19.7,1996,8
1996-09-01,3.0,1996,9
1996-10-01,0.7,1996,10
1996-11-01,24.9,1996,11
1996-12-01,14.0,1996,12
1997-01-01,7.4,1997,1
1997-02-01,11.0,1997,2
1997-03-01,12.1,1997,3
1997-04-01,23.0,1997,4
1997-05-01,25.4,1997,5
1997-06-01,20.8,1997,6
1997-07-01,12.9,1997,7
1997-08-01,35.7,1997,8
1997-09-01,59.7,1997,9
1997-10-01,32.8,1997,10
1997-11-01,50.4,1997,11
1997-12-01,55.5,1997,12
1998-01-01,44.5,1998,1
1998-02-01,50.2,1998,2
1998-03-01,82.0,1998,3
1998-04-01,70.6,1998,4
1998-05-01,74.0,1998,5
1998-06-01,90.5,1998,6
1998-07-01,96.7,1998,7
1998-08-01,121.1,1998,8
1998-09-01,132.0,1998,9
1998-10-01,78.5,1998,10
1998-11-01,97.3,1998,11
1998-12-01,119.2,1998,12
1999-01-01,86.0,1999,1
1999-02-01,98.0,1999,2
1999-03-01,103.5,1999,3
1999-04-01,93.6,1999,4
1999-05-01,149.6,1999,5
1999-06-01,207.2,1999,6
1999-07-01,173.5,1999,7
1999-08-01,142.3,1999,8
1999-09-01,106.3,1999,9
1999-10-01,168.7,1999,10
1999-11-01,188.3,1999,11
1999-12-01,116.8,1999,12
2000-01-01,133.1,2000,1
2000-02-01,165.7,2000,2
2000-03-01,217.7,2000,3
2000-04-01,191.5,2000,4
2000-05-01,165.9,2000,5
2000-06-01,188.0,2000,6
2000-07-01,244.3,2000,7
2000-08-01,180.5,2000,8
2000-09-01,156.0,2000,9
2000-10-01,141.6,2000,10
2000-11-01,158.1,2000,11
2000-12-01,143.3,2000,12
2001-01-01,142.6,2001,1
2001-02-01,121.5,2001,2
2001-03-01,165.8,2001,3
2001-04-01,161.7,2001,4
2001-05-01,142.1,2001,5
2001-06-01,202.9,2001,6
2001-07-01,123.0,2001,7
2001-08-01,161.5,2001,8
2001-09-01,238.2,2001,9
2001-10-01,194.1,2001,10
2001-11-01,176.6,2001,11
2001-12-01,213.4,2001,12
2002-01-01,184.6,2002,1
2002-02-01,170.2,2002,2
2002-03-01,147.1,2002,3
2002-04-01,186.9,2002,4
2002-05-01,187.5,2002,5
2002-06-01,128.8,2002,6
2002-07-01,161.0,2002,7
2002-08-01,175.6,2002,8
2002-09-01,187.9,2002,9
2002-10-01,151.2,2002,10
2002-11-01,147.2,2002,11
2002-12-01,135.3,2002,12
2003-01-01,133.5,2003,1
2003-02-01,75.7,2003,2
2003-03-01,100.7,2003,3
2003-04-01,97.9,2003,4
2003-05-01,86.8,2003,5
2003-06-01,118.7,2003,6
2003-07-01,128.3,2003,7
2003-08-01,115.4,2003,8
2003-09-01,78.5,2003,9
2003-10-01,97.8,2003,10
2003-11-01,82.9,2003,11
2003-12-01,72.2,2003,12
2004-01-01,60.6,2004,1
2004-02-01,74.6,2004,2
2004-03-01,74.8,2004,3
2004-04-01,59.2,2004,4
2004-05-01,72.8,2004,5
2004-06-01,66.5,2004,6
2004-07-01,83.8,2004,7
2004-08-01,69.7,2004,8
2004-09-01,48.8,2004,9
2004-10-01,74.2,2004,10
2004-11-01,70.1,2004,11
2004-12-01,28.9,2004,12
2005-01-01,48.1,2005,1
2005-02-01,43.5,2005,2
2005-03-01,39.6,2005,3
2005-04-01,38.7,2005,4
2005-05-01,61.9,2005,5
2005-06-01,56.8,2005,6
2005-07-01,62.4,2005,7
2005-08-01,60.5,2005,8
2005-09-01,37.2,2005,9
2005-10-01,13.2,2005,10
2005-11-01,27.5,2005,11
2005-12-01,59.3,2005,12
2006-01-01,20.9,2006,1
2006-02-01,5.7,2006,2
2006-03-01,17.3,2006,3
2006-04-01,50.3,2006,4
2006-05-01,37.2,2006,5
2006-06-01,24.5,2006,6
2006-07-01,22.2,2006,7
2006-08-01,20.8,2006,8
2006-09-01,23.7,2006,9
2006-10-01,14.9,2006,10
2006-11-01,35.7,2006,11
2006-12-01,22.3,2006,12
2007-01-01,29.3,2007,1
2007-02-01,18.4,2007,2
2007-03-01,7.2,2007,3
2007-04-01,5.4,2007,4
2007-05-01,19.5,2007,5
2007-06-01,21.3,2007,6
2007-07-01,15.1,2007,7
2007-08-01,9.8,2007,8
2007-09-01,4.0,2007,9
2007-10-01,1.5,2007,10
2007-11-01,2.8,2007,11
2007-12-01,17.3,2007,12
2008-01-01,4.1,2008,1
2008-02-01,2.9,2008,2
2008-03-01,15.5,2008,3
2008-04-01,3.6,2008,4
2008-05-01,4.6,2008,5
2008-06-01,5.2,2008,6
2008-07-01,0.6,2008,7
2008-08-01,0.3,2008,8
2008-09-01,1.2,2008,9
2008-10-01,4.2,2008,10
2008-11-01,6.6,2008,11
2008-12-01,1.0,2008,12
2009-01-01,1.3,2009,1
2009-02-01,1.2,2009,2
2009-03-01,0.6,2009,3
2009-04-01,1.2,2009,4
2009-05-01,2.9,2009,5
2009-06-01,6.3,2009,6
2009-07-01,5.5,2009,7
2009-08-01,0.0,2009,8
2009-09-01,7.1,2009,9
2009-10-01,7.7,2009,10
2009-11-01,6.9,2009,11
2009-12-01,16.3,2009,12
2010-01-01,19.5,2010,1
2010-02-01,28.5,2010,2
2010-03-01,24.0,2010,3
2010-04-01,10.4,2010,4
2010-05-01,13.9,2010,5
2010-06-01,18.8,2010,6
2010-07-01,25.2,2010,7
2010-08-01,29.6,2010,8
2010-09-01,36.4,2010,9
2010-10-01,33.6,2010,10
2010-11-01,34.4,2010,11
2010-12-01,24.5,2010,12
2011-01-01,27.3,2011,1
2011-02-01,48.3,2011,2
2011-03-01,78.6,2011,3
2011-04-01,76.1,2011,4
2011-05-01,58.2,2011,5
2011-06-01,56.1,2011,6
2011-07-01,64.5,2011,7
2011-08-01,65.8,2011,8
2011-09-01,120.1,2011,9
2011-10-01,125.7,2011,10
2011-11-01,139.1,2011,11
2011-12-01,109.3,2011,12
2012-01-01,94.4,2012,1
2012-02-01,47.8,2012,2
2012-03-01,86.6,2012,3
2012-04-01,85.9,2012,4
2012-05-01,96.5,2012,5
2012-06-01,92.0,2012,6
2012-07-01,100.1,2012,7
2012-08-01,94.8,2012,8
2012-09-01,93.7,2012,9
2012-10-01,76.5,2012,10
2012-11-01,87.6,2012,11
2012-12-01,56.8,2012,12
2013-01-01,96.1,2013,1
2013-02-01,60.9,2013,2
2013-03-01,78.3,2013,3
2013-04-01,107.3,2013,4
2013-05-01,120.2,2013,5
2013-06-01,76.7,2013,6
2013-07-01,86.2,2013,7
2013-08-01,91.8,2013,8
2013-09-01,54.5,2013,9
2013-10-01,114.4,2013,10
2013-11-01,113.9,2013,11
2013-12-01,124.2,2013,12
2014-01-01,117.0,2014,1
2014-02-01,146.1,2014,2
2014-03-01,128.7,2014,3
2014-04-01,112.5,2014,4
2014-05-01,112.5,2014,5
2014-06-01,102.9,2014,6
2014-07-01,100.2,2014,7
2014-08-01,106.9,2014,8
2014-09-01,130.0,2014,9
2014-10-01,90.0,2014,10
2014-11-01,103.6,2014,11
2014-12-01,112.9,2014,12
2015-01-01,93.0,2015,1
2015-02-01,66.7,2015,2
2015-03-01,54.5,2015,3
2015-04-01,75.3,2015,4
2015-05-01,88.8,2015,5
2015-06-01,66.5,2015,6
2015-07-01,65.8,2015,7
2015-08-01,64.4,2015,8
2015-09-01,78.6,2015,9
2015-10-01,63.6,2015,10
2015-11-01,62.2,2015,11
2015-12-01,58.0,2015,12
2016-01-01,57.0,2016,1
2016-02-01,56.4,2016,2
2016-03-01,54.1,2016,3
2016-04-01,37.9,2016,4
2016-05-01,51.5,2016,5
2016-06-01,20.5,2016,6
2016-07-01,32.4,2016,7
2016-08-01,50.2,2016,8
2016-09-01,44.6,2016,9
2016-10-01,33.4,2016,10
2016-11-01,21.4,2016,11
2016-12-01,18.5,2016,12
2017-01-01,26.1,2017,1
2017-02-01,26.4,2017,2
2017-03-01,17.7,2017,3
2017-04-01,32.3,2017,4
2017-05-01,18.9,2017,5
2017-06-01,19.2,2017,6
2017-07-01,17.8,2017,7
2017-08-01,32.6,2017,8
2017-09-01,43.7,2017,9
2017-10-01,13.2,2017,10
2017-11-01,5.7,2017,11
2017-12-01,8.2,2017,12
2018-01-01,6.8,2018,1
2018-02-01,10.7,2018,2
2018-03-01,2.5,2018,3
2018-04-01,8.9,2018,4
2018-05-01,13.1,2018,5
2018-06-01,15.6,2018,6
2018-07-01,1.6,2018,7
2018-08-01,8.7,2018,8
2018-09-01,3.3,2018,9
2018-10-01,4.9,2018,10
2018-11-01,4.9,2018,11
2018-12-01,3.1,2018,12
2019-01-01,7.7,2019,1
2019-02-01,0.8,2019,2
2019-03-01,9.4,2019,3
2019-04-01,9.1,2019,4
2019-05-01,9.9,2019,5
2019-06-01,1.2,2019,6
2019-07-01,0.9,2019,7
2019-08-01,0.5,2019,8
2019-09-01,1.1,2019,9
2019-10-01,0.4,2019,10
2019-11-01,0.5,2019,11
2019-12-01,1.5,2019,12
2020-01-01,6.2,2020,1
2020-02-01,0.2,2020,2
2020-03-01,1.5,2020,3
2020-04-01,5.2,2020,4
2020-05-01,0.2,2020,5
2020-06-01,5.8,2020,6
2020-07-01,6.1,2020,7
2020-08-01,7.5,2020,8
2020-09-01,0.6,2020,9
2020-10-01,14.6,2020,10
2020-11-01,34.5,2020,11
2020-12-01,23.1,2020,12
2021-01-01,10.4,2021,1
2021-02-01,8.2,2021,2
2021-03-01,17.2,2021,3
2021-04-01,24.5,2021,4
2021-05-01,21.2,2021,5
2021-06-01,25.0,2021,6
2021-07-01,34.3,2021,7
2021-08-01,22.0,2021,8
2021-09-01,51.3,2021,9
2021-10-01,37.4,2021,10
2021-11-01,34.8,2021,11
2021-12-01,67.5,2021,12
2022-01-01,55.3,2022,1
2022-02-01,60.9,2022,2
2022-03-01,78.6,2022,3
2022-04-01,84.0,2022,4
2022-05-01,96.5,2022,5
2022-06-01,70.3,2022,6
2022-07-01,91.4,2022,7
2022-08-01,74.6,2022,8
2022-09-01,96.0,2022,9
2022-10-01,95.5,2022,10
2022-11-01,80.5,2022,11
2022-12-01,112.8,2022,12
2023-01-01,144.4,2023,1
2023-02-01,111.3,2023,2
2023-03-01,123.3,2023,3
2023-04-01,97.6,2023,4
2023-05-01,137.4,2023,5
2023-06-01,160.5,2023,6
2023-07-01,160.0,2023,7
2023-08-01,114.8,2023,8
2023-09-01,134.2,2023,9
2023-10-01,99.9,2023,10
2023-11-01,107.1,2023,11
2023-12-01,113.5,2023,12
2024-01-01,126.0,2024,1
2024-02-01,123.0,2024,2
2024-03-01,103.7,2024,3
2024-04-01,137.0,2024,4
2024-05-01,172.1,2024,5
2024-06-01,164.1,2024,6
2024-07-01,196.8,2024,7
2024-08-01,216.0,2024,8
2024-09-01,141.1,2024,9
2024-10-01,165.8,2024,10
2024-11-01,154.1,2024,11
2024-12-01,154.6,2024,12
2025-01-01,137.0,2025,1
2025-02-01,155.7,2025,2
2025-03-01,134.2,2025,3
2025-04-01,141.4,2025,4
2025-05-01,78.5,2025,5
2025-06-01,114.6,2025,6
2025-07-01,125.9,2025,7
2025-08-01,133.7,2025,8
2025-09-01,129.7,2025,9
2025-10-01,114.8,2025,10
2025-11-01,91.7,2025,11
2025-12-01,124.2,2025,12
2026-01-01,112.5,2026,1
2026-02-01,78.2,2026,2
2026-03-01,85.9,2026,3
2026-04-01,79.3,2026,4
